iter	Passed	Remaining
0	131	65397
1	131	32808
2	132	21919
3	133	16504
4	134	13273
5	134	11083
6	135	9525
7	135	8356
8	136	7447
9	137	6713
10	137	6120
11	138	5622
12	138	5202
13	139	4840
14	140	4533
15	140	4264
16	141	4023
17	142	3809
18	142	3615
19	143	3439
20	143	3283
21	144	3139
22	144	3005
23	145	2886
24	146	2781
25	147	2686
26	147	2587
27	148	2500
28	148	2419
29	149	2342
30	150	2270
31	150	2204
32	151	2141
33	151	2082
34	152	2026
35	153	1974
36	153	1922
37	154	1873
38	154	1830
39	155	1789
40	156	1750
41	156	1711
42	157	1675
43	158	1640
44	158	1606
45	159	1576
46	160	1549
47	161	1521
48	162	1492
49	162	1465
50	163	1438
51	164	1412
52	164	1388
53	165	1364
54	165	1339
55	166	1317
56	166	1294
57	167	1273
58	167	1253
59	168	1235
60	169	1218
61	169	1199
62	170	1181
63	170	1164
64	171	1147
65	172	1131
66	172	1116
67	173	1101
68	173	1086
69	174	1070
70	175	1057
71	176	1046
72	176	1033
73	177	1020
74	177	1008
75	178	996
76	179	984
77	179	972
78	180	961
79	180	949
80	181	938
81	182	928
82	182	918
83	183	909
84	184	899
85	184	889
86	185	880
87	185	870
88	186	861
89	187	852
90	187	844
91	188	835
92	189	828
93	190	820
94	191	814
95	191	806
96	192	798
97	192	790
98	193	783
99	193	775
100	194	768
101	195	761
102	195	754
103	196	747
104	196	740
105	197	734
106	198	729
107	199	723
108	199	716
109	200	710
110	200	704
111	201	698
112	202	692
113	202	686
114	203	680
115	204	675
116	205	671
117	205	666
118	206	661
119	207	655
120	207	650
121	208	644
122	208	639
123	209	634
124	209	629
125	210	624
126	211	620
127	211	615
128	212	611
129	213	606
130	213	601
131	214	597
132	214	592
133	215	588
134	216	584
135	216	579
136	217	575
137	217	571
138	218	567
139	219	564
140	220	560
141	220	556
142	221	552
143	221	548
144	222	544
145	222	540
146	223	536
147	224	532
148	224	529
149	225	525
150	225	521
151	226	517
152	227	514
153	227	512
154	228	508
155	229	505
156	229	502
157	230	498
158	230	495
159	231	491
160	232	488
161	232	485
162	233	482
163	234	480
164	235	477
165	235	473
166	236	470
167	236	467
168	237	464
169	237	461
170	238	458
171	238	455
172	239	452
173	239	449
174	240	446
175	240	443
176	241	440
177	242	438
178	242	435
179	243	432
180	244	430
181	244	427
182	245	424
183	245	421
184	246	419
185	246	416
186	247	413
187	247	411
188	248	408
189	248	406
190	249	403
191	250	401
192	250	398
193	251	396
194	251	393
195	252	391
196	252	388
197	253	386
198	253	384
199	254	381
200	255	379
201	255	377
202	256	375
203	257	372
204	257	370
205	258	368
206	258	366
207	259	363
208	259	361
209	260	359
210	260	357
211	261	355
212	261	352
213	262	350
214	263	348
215	263	346
216	264	344
217	264	342
218	265	340
219	265	338
220	266	336
221	266	334
222	267	332
223	267	330
224	268	328
225	269	326
226	269	324
227	270	322
228	270	320
229	271	318
230	272	316
231	272	314
232	273	312
233	273	311
234	274	309
235	274	307
236	275	305
237	275	303
238	276	301
239	277	300
240	277	298
241	278	296
242	278	294
243	279	292
244	279	291
245	280	289
246	280	287
247	281	285
248	282	284
249	282	282
250	283	280
251	283	279
252	284	277
253	284	275
254	285	274
255	285	272
256	286	270
257	287	269
258	287	267
259	288	265
260	288	264
261	289	262
262	289	261
263	290	259
264	290	257
265	291	256
266	292	254
267	292	253
268	293	251
269	293	250
270	294	248
271	294	247
272	295	245
273	295	244
274	296	242
275	296	241
276	297	239
277	298	238
278	298	236
279	299	235
280	299	233
281	300	232
282	300	230
283	301	229
284	301	227
285	302	226
286	303	224
287	303	223
288	304	222
289	304	220
290	305	219
291	305	217
292	306	216
293	306	215
294	307	213
295	307	212
296	308	210
297	309	209
298	309	208
299	310	206
300	310	205
301	311	204
302	311	202
303	312	201
304	312	200
305	313	198
306	314	197
307	314	196
308	315	195
309	316	193
310	316	192
311	317	191
312	317	189
313	318	188
314	318	187
315	319	185
316	319	184
317	320	183
318	321	182
319	321	180
320	322	179
321	322	178
322	323	177
323	323	175
324	324	174
325	324	173
326	325	172
327	325	170
328	326	169
329	327	168
330	327	167
331	328	166
332	329	165
333	329	163
334	330	162
335	330	161
336	331	160
337	331	159
338	332	157
339	333	156
340	333	155
341	334	154
342	334	153
343	335	152
344	335	150
345	336	149
346	336	148
347	337	147
348	338	146
349	338	145
350	339	144
351	339	142
352	340	141
353	340	140
354	341	139
355	342	138
356	342	137
357	343	136
358	344	135
359	344	134
360	345	132
361	345	131
362	346	130
363	346	129
364	347	128
365	347	127
366	348	126
367	349	125
368	349	124
369	350	123
370	350	121
371	351	120
372	351	119
373	352	118
374	352	117
375	353	116
376	353	115
377	354	114
378	355	113
379	355	112
380	356	111
381	356	110
382	357	109
383	357	108
384	358	107
385	358	106
386	359	104
387	360	103
388	360	102
389	361	101
390	361	100
391	362	99
392	362	98
393	363	97
394	363	96
395	364	95
396	365	94
397	365	93
398	366	92
399	366	91
400	367	90
401	367	89
402	368	88
403	368	87
404	369	86
405	370	85
406	370	84
407	371	83
408	371	82
409	372	81
410	372	80
411	373	79
412	373	78
413	374	77
414	374	76
415	375	75
416	376	74
417	376	73
418	377	72
419	377	71
420	378	70
421	378	69
422	379	69
423	379	68
424	380	67
425	380	66
426	381	65
427	381	64
428	382	63
429	383	62
430	383	61
431	384	60
432	384	59
433	385	58
434	385	57
435	386	56
436	386	55
437	387	54
438	388	53
439	388	52
440	389	52
441	389	51
442	390	50
443	390	49
444	391	48
445	391	47
446	392	46
447	392	45
448	393	44
449	393	43
450	394	42
451	395	41
452	395	41
453	396	40
454	396	39
455	397	38
456	397	37
457	398	36
458	398	35
459	399	34
460	399	33
461	400	32
462	401	32
463	401	31
464	402	30
465	402	29
466	403	28
467	403	27
468	404	26
469	404	25
470	405	24
471	405	24
472	406	23
473	407	22
474	407	21
475	408	20
476	408	19
477	409	18
478	409	17
479	410	17
480	410	16
481	411	15
482	411	14
483	412	13
484	412	12
485	413	11
486	414	11
487	414	10
488	415	9
489	415	8
490	416	7
491	416	6
492	417	5
493	417	5
494	418	4
495	419	3
496	419	2
497	420	1
498	420	0
499	421	0
